"id","username","role","filename","action","status","createdAt","updatedAt"
7,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:25:06.372Z","2025-07-11T00:25:06.372Z"
8,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:25:06.521Z","2025-07-11T00:25:06.521Z"
9,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.749Z","2025-07-11T00:26:45.749Z"
10,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.890Z","2025-07-11T00:26:45.890Z"
11,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.890Z","2025-07-11T00:26:45.890Z"
12,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:26:45.891Z","2025-07-11T00:26:45.891Z"
13,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.292Z","2025-07-11T00:27:35.292Z"
14,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
15,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
16,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.360Z","2025-07-11T00:27:35.360Z"
17,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
18,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
19,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
20,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.361Z","2025-07-11T00:27:35.361Z"
21,"Unknown","Unknown","-","UNDEFINED","INFO","2025-07-11T00:27:35.454Z","2025-07-11T00:27:35.454Z"
22,"Unknown","Unknown","-","[REQUEST] Guest accessed POST /auth/login","INFO","2025-07-11T00:29:47.810Z","2025-07-11T00:29:47.810Z"
23,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:29:48.018Z","2025-07-11T00:29:48.018Z"
24,"Unknown","Unknown","-","[REQUEST] Guest accessed POST /auth/login","INFO","2025-07-11T00:30:26.639Z","2025-07-11T00:30:26.639Z"
25,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:30:27.340Z","2025-07-11T00:30:27.340Z"
26,"cfo_user","CFO","-","LOGIN","SUCCESS","2025-07-11T00:32:46.458Z","2025-07-11T00:32:46.458Z"
27,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:45:58.102Z","2025-07-11T00:45:58.102Z"
28,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:45:58.403Z","2025-07-11T00:45:58.403Z"
29,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:45:58.403Z","2025-07-11T00:45:58.403Z"
30,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:53:45.829Z","2025-07-11T00:53:45.829Z"
31,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:53:46.086Z","2025-07-11T00:53:46.086Z"
32,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:53:46.086Z","2025-07-11T00:53:46.086Z"
33,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","SUCCESS","2025-07-11T00:54:56.389Z","2025-07-11T00:54:56.389Z"
34,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:54:56.655Z","2025-07-11T00:54:56.655Z"
35,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:54:56.655Z","2025-07-11T00:54:56.655Z"
36,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","IN_PROGRESS","2025-07-11T00:55:58.001Z","2025-07-11T00:55:58.001Z"
37,"cfo_user","CFO","chips.jpg.enc","BRUTEFORCE","FAILED","2025-07-11T00:55:58.204Z","2025-07-11T00:55:58.204Z"
38,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:47.924Z","2025-07-11T00:59:47.924Z"
39,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
40,"cfo_user","CFO","chips.jpg","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
41,"cfo_user","CFO","chips.jpg.enc","ENCRYPT","SUCCESS","2025-07-11T00:59:48.074Z","2025-07-11T00:59:48.074Z"
